id,income_date,name,nif,base,iva,principal_id
435,2016-01-20,Earl Holmes,725-42-8383,114.52,21,3
436,2016-08-25,Mildred Marshall,857-95-3752,58.3,21,3
437,2016-05-29,Louise Brooks,448-03-4623,113.76,21,4
438,2016-07-10,Albert Gardner,950-53-9344,205.98,21,4
439,2016-08-07,Martha Fernandez,964-46-9474,38.33,21,5
440,2016-06-03,Barbara Nelson,407-11-1274,158.53,21,4
441,2016-03-11,Cynthia Clark,948-54-7659,91.96,21,6
442,2016-10-21,Judith Oliver,201-96-1186,67.36,21,5
443,2016-07-05,Ann Carter,705-43-1352,26.53,21,3
444,2016-10-06,Paul Stone,195-48-9424,115.25,21,5
445,2016-06-21,Barbara Stanley,920-66-0055,161.05,21,4
446,2016-05-20,Terry Palmer,717-25-3472,30.43,21,5
447,2016-01-27,Cynthia Ray,535-18-1120,189.8,21,3
448,2016-07-14,Sandra Nguyen,696-01-3093,202.51,21,3
449,2016-05-30,Douglas Jordan,860-53-8363,159.83,21,4
450,2016-04-17,Timothy Jackson,595-31-0835,88.98,21,6
451,2016-07-09,Michelle Nguyen,512-57-2251,119.49,21,3
452,2015-12-31,Raymond Fernandez,847-88-8475,156.77,21,6
453,2016-02-12,Roy West,652-12-1151,203.24,21,5
454,2016-04-12,Helen Perkins,487-90-4019,106.82,21,3
455,2015-12-04,George Edwards,155-80-5582,106.39,21,6
456,2016-04-03,Harold Chavez,605-78-6445,125.3,21,5
457,2016-08-07,Jeremy Simmons,993-72-8047,35.67,21,3
458,2016-08-06,Wanda Taylor,795-61-3860,171.21,21,5
459,2016-07-20,Raymond Powell,321-35-9056,71.31,21,4
460,2016-02-03,Jessica Rogers,407-23-6672,163.35,21,3
461,2016-04-08,Amy Kennedy,536-33-1041,86.26,21,4
462,2016-08-10,Jack Jackson,715-23-6362,163.13,21,6
463,2016-06-10,Jimmy Nelson,155-67-8722,82.54,21,4
464,2016-03-30,Raymond Ellis,732-30-5329,29.38,21,4
465,2016-07-10,Deborah Cook,865-56-0064,29.45,21,3
466,2016-04-21,Albert Morgan,892-59-4354,223.07,21,6
467,2016-04-12,Bobby Spencer,359-78-9984,26.77,21,4
468,2016-09-08,Gary Burke,563-84-8384,178.45,21,3
469,2016-08-11,Scott Wilson,233-38-1890,202.1,21,5
470,2016-05-16,Angela Burke,158-76-1303,189.62,21,6
471,2016-02-16,Tammy Jordan,468-87-0501,142.63,21,4
472,2016-09-18,Tina Welch,701-45-4517,154.02,21,4
473,2015-12-02,Elizabeth Austin,554-89-5749,180.31,21,4
474,2016-10-18,Wayne Reid,328-07-4534,27.41,21,6
475,2015-11-12,Raymond Marshall,815-64-6610,147.88,21,3
476,2016-07-24,Martin Freeman,142-41-6552,45.69,21,5
477,2016-09-17,Catherine Evans,114-19-5500,85.34,21,6
478,2016-10-12,Mary Berry,151-12-7151,216.23,21,6
479,2016-10-07,Rebecca Harper,399-91-7341,229.59,21,3
480,2016-08-22,Ann Garrett,424-72-5242,164.09,21,4
481,2015-11-23,Deborah Ray,190-18-1483,70.0,21,6
482,2016-10-18,Shirley Hernandez,262-90-2947,194.14,21,4
483,2016-10-13,Robert Jenkins,251-22-2294,53.18,21,5
484,2016-04-27,Larry Simmons,975-02-8224,27.36,21,5
485,2016-05-18,Betty Garza,214-35-2956,112.93,21,3
486,2016-03-10,Amy Warren,461-09-3833,196.71,21,3
487,2016-05-12,Scott Adams,422-59-1977,219.51,21,3
488,2015-11-19,Barbara Hicks,998-45-0321,25.95,21,6
489,2016-01-07,Anna Rice,897-10-0878,87.34,21,4
490,2016-09-10,Samuel Larson,317-08-1395,108.27,21,4
491,2015-12-17,Brenda Williams,588-90-5036,90.53,21,4
492,2016-02-23,Harry Lawrence,193-72-9925,141.6,21,4
493,2016-10-21,Louise Little,755-35-7051,218.81,21,3
494,2016-08-19,Jeffrey Chavez,138-15-2244,95.15,21,4
495,2015-12-12,Denise Gilbert,762-81-5917,211.05,21,5
496,2016-06-06,Janice Simmons,459-16-2443,166.08,21,4
497,2016-08-21,Justin Russell,666-88-7098,205.29,21,6
498,2016-03-28,Ernest Stephens,766-69-2516,86.98,21,4
499,2015-11-23,Nancy Harvey,671-76-8657,28.81,21,5
500,2015-11-28,Kenneth Walker,973-04-5310,126.16,21,4
501,2016-02-18,Lori Lawrence,608-85-1988,115.12,21,3
502,2016-09-18,Rose Harris,145-40-0452,97.82,21,4
503,2016-05-19,Victor Stewart,788-63-8686,158.06,21,4
504,2016-01-06,Scott Banks,174-34-8209,60.58,21,5
505,2016-09-01,Teresa Murphy,842-30-7925,43.06,21,4
506,2016-10-02,Lawrence Porter,360-82-3016,195.45,21,4
507,2015-11-15,Jerry Fowler,241-16-4602,49.21,21,3
508,2016-05-18,Steve Dean,518-77-2733,191.49,21,6
509,2016-10-06,Ashley Weaver,331-40-3574,57.6,21,3
510,2015-10-30,Diana Armstrong,893-79-0778,82.49,21,4
511,2015-12-05,Adam Palmer,855-79-6793,200.15,21,3
512,2016-06-04,Keith Dean,116-72-1104,226.78,21,5
513,2015-10-26,Dennis Rice,155-58-4085,136.52,21,4
514,2016-09-29,Julie Jacobs,440-19-7832,85.1,21,4
515,2016-03-31,Jimmy Cook,773-39-4691,49.3,21,3
516,2016-08-02,Joyce Cooper,305-62-0323,193.76,21,6
517,2016-08-05,Janet Rose,487-63-4577,126.17,21,6
518,2016-09-09,Jeremy Elliott,686-06-5191,213.17,21,6
519,2016-07-17,Teresa Brown,703-81-4875,181.77,21,3
520,2016-08-29,Steve Martinez,204-18-6289,136.56,21,6
521,2015-11-14,Peter Hunt,644-73-4366,142.2,21,6
522,2016-07-20,Nicole Dixon,308-83-0451,155.59,21,3
523,2016-02-07,Margaret Lynch,568-72-4801,88.75,21,4
524,2016-09-19,Edward Harvey,207-63-5861,97.52,21,3
525,2016-02-01,Heather Moore,200-13-1106,61.24,21,4
526,2016-05-21,Joe Gomez,572-62-0999,149.49,21,3
527,2016-10-17,Andrew Griffin,170-61-1822,63.79,21,6
528,2016-03-05,Patricia Walker,551-68-1281,57.71,21,6
529,2016-01-23,Carol Lawrence,692-11-3178,158.74,21,3
530,2016-04-06,Emily Weaver,369-24-8940,88.19,21,6
531,2016-02-20,Kathryn Foster,399-57-9295,90.73,21,4
532,2016-05-01,Alice Cooper,372-10-5514,124.3,21,4
533,2016-01-15,Alice Dixon,739-50-3110,225.12,21,6
534,2016-02-12,Jack Fowler,409-35-4048,28.0,21,4
535,2016-05-27,Lillian Jenkins,915-33-3762,63.45,21,4
536,2016-03-13,Phyllis Alvarez,604-87-6406,140.08,21,4
537,2016-02-25,Bobby Sullivan,399-17-8981,87.51,21,3
538,2016-03-03,Michael Andrews,143-68-9930,229.05,21,4
539,2016-08-25,Ashley Stephens,396-63-4843,34.95,21,6
540,2016-06-20,Ruth Hall,316-57-1896,47.57,21,6
541,2016-09-23,Doris Parker,927-55-0469,144.34,21,5
542,2016-06-10,Brenda Holmes,762-42-8460,79.0,21,3
543,2016-08-18,Henry Hill,181-58-4994,221.29,21,6
544,2016-01-05,Henry Palmer,254-93-1962,70.62,21,5
545,2015-12-24,Howard Mason,284-48-9691,196.9,21,4
546,2016-09-02,Annie Kim,317-84-4127,151.98,21,3
547,2016-10-17,Robin Chapman,179-12-9706,176.04,21,3
548,2015-12-06,Kathryn Gibson,669-63-4468,165.44,21,6
549,2016-01-04,Benjamin Reyes,602-71-9237,63.73,21,3
550,2016-03-02,Patrick Harvey,909-40-9548,103.22,21,4
551,2016-06-19,Dennis Baker,952-40-7161,28.68,21,4
552,2016-10-14,Brenda Gomez,215-19-6176,184.53,21,3
553,2016-09-22,Harold Morales,953-06-2892,41.25,21,4
554,2016-01-21,Antonio Snyder,944-72-3334,131.13,21,3
555,2016-01-03,Brandon Torres,855-97-4518,85.37,21,6
556,2016-07-14,Roy Rivera,804-58-6106,50.13,21,4
557,2016-05-11,Kelly Lopez,866-68-3763,170.48,21,3
558,2016-08-13,Samuel Ortiz,148-88-7968,221.87,21,6
559,2016-10-19,Stephanie Thompson,458-78-5903,170.53,21,3
560,2016-03-30,Jonathan Frazier,384-48-0609,123.55,21,4
561,2015-11-06,Jeremy Mccoy,497-36-8284,31.51,21,6
562,2016-10-14,Stephen Ryan,503-35-5992,184.7,21,4
563,2016-01-10,Edward Hanson,474-27-9477,104.97,21,3
564,2016-10-11,Elizabeth Harper,435-75-5043,220.52,21,4
565,2016-06-01,Dorothy Rogers,306-10-8178,86.47,21,5
566,2016-03-04,Adam Stone,349-37-2268,199.5,21,3
567,2016-08-04,Sara Reid,300-52-5842,217.49,21,3
568,2016-02-29,Wayne Sims,481-97-0535,212.12,21,5
569,2016-09-22,George Gomez,280-80-3474,165.95,21,3
570,2016-09-12,Mildred Franklin,297-67-7804,210.33,21,6
571,2016-09-25,Julie Cole,875-06-2997,149.49,21,6
572,2016-05-30,Robin Banks,859-90-4471,171.92,21,3
573,2016-08-31,Judy Payne,643-94-9835,190.99,21,6
574,2016-07-26,Joan Knight,264-32-3430,66.88,21,3
575,2016-09-09,Christina Gomez,282-16-6322,160.21,21,4
576,2016-10-02,Ralph Spencer,339-07-8298,217.74,21,5
577,2016-09-15,Kathleen Clark,187-57-8360,152.54,21,4
578,2016-07-29,Paul Morgan,176-23-0692,88.97,21,3
579,2016-08-17,Joe Burns,678-08-6017,172.04,21,6
580,2016-07-15,Denise Garcia,243-61-5650,87.09,21,5
581,2016-09-22,Carlos Young,296-35-6929,129.06,21,3
582,2016-07-12,Ralph Wheeler,190-69-7106,55.9,21,4
583,2016-04-29,Paula Austin,889-09-6689,161.57,21,6
584,2016-04-21,Jennifer Green,516-11-9725,95.74,21,6
585,2016-07-14,Terry Perez,916-78-9177,69.65,21,3
586,2016-02-09,Nancy Hernandez,689-71-0904,71.94,21,3
587,2016-10-10,Philip Romero,427-68-4064,211.96,21,5
588,2016-02-22,Laura Anderson,599-27-8221,153.14,21,3
589,2016-10-02,Harold Dixon,718-82-5745,155.79,21,5
590,2016-07-29,Ann Allen,312-39-2843,28.37,21,4
591,2016-06-13,Edward Henderson,418-97-9857,73.34,21,5
592,2016-01-13,Gary Wright,161-23-0978,114.87,21,4
593,2016-10-21,Jennifer Nichols,178-48-0970,184.71,21,3
594,2015-11-11,George Simpson,474-70-9049,36.29,21,6
595,2015-11-08,Judy Stevens,641-90-3968,29.06,21,6
596,2015-12-03,Jose Mendoza,291-58-4776,127.86,21,4
597,2016-05-31,Ronald Cooper,111-15-6298,206.46,21,4
598,2016-04-19,Robin Knight,649-96-0442,216.49,21,6
599,2015-11-09,Andrea Turner,358-86-5650,81.18,21,4
600,2016-08-30,Joan Hunter,107-09-3729,202.76,21,5
601,2016-02-02,Jimmy Gardner,161-56-7382,177.85,21,4
602,2016-09-14,Ruth Collins,308-43-5914,124.28,21,6
603,2016-07-06,Betty Watson,390-74-3858,38.58,21,6
604,2016-02-11,Ernest Flores,356-15-4460,156.39,21,6
605,2015-12-31,Matthew Clark,991-53-1215,110.6,21,5
606,2015-11-01,Margaret Payne,613-70-3551,215.69,21,6
607,2016-03-16,Evelyn Jones,987-59-3079,71.72,21,5
608,2016-02-01,Carolyn Sims,555-79-9508,164.0,21,4
609,2016-03-02,Andrew Jackson,903-92-2954,229.17,21,6
610,2016-05-27,Arthur Bell,410-27-9873,73.64,21,5
611,2016-08-11,Emily Sanders,711-19-9772,34.64,21,4
612,2016-03-08,Anthony Hawkins,501-18-8115,228.59,21,6
613,2016-05-07,Willie Nelson,758-37-2841,167.51,21,4
614,2015-12-24,Doris Morgan,166-31-6678,218.65,21,3
615,2015-11-25,Peter Bryant,331-34-4307,107.74,21,3
616,2016-09-01,Craig Diaz,171-48-2047,81.05,21,4
617,2015-12-09,Janice Cole,668-50-0923,85.17,21,3
618,2015-12-28,Annie Castillo,717-83-1022,73.55,21,6
619,2016-04-17,Gary Arnold,568-56-6038,132.43,21,3
620,2016-05-08,Christine Greene,661-43-1263,36.13,21,4
621,2015-12-04,Gerald Wheeler,105-64-7893,157.54,21,3
622,2016-07-16,Shirley Johnston,337-68-6237,182.79,21,6
623,2016-10-15,Stephanie Jackson,596-91-2044,131.62,21,3
624,2016-01-27,Rebecca Kelly,933-36-6586,92.2,21,3
625,2016-08-31,Lois Day,216-63-6183,124.97,21,3
626,2016-01-14,Jeremy Grant,530-20-0920,226.16,21,3
627,2016-04-23,John Palmer,313-23-2181,212.61,21,4
628,2016-02-19,Jack Wells,744-39-4713,152.08,21,5
629,2016-01-13,Ralph Morgan,940-57-0335,158.96,21,5
630,2016-02-05,Jessica Lee,680-19-2022,81.34,21,3
631,2016-04-05,Adam Coleman,826-35-7668,67.67,21,6
632,2016-03-19,Lois Willis,330-47-0144,155.53,21,4
633,2015-11-04,Alan Nelson,628-43-8426,128.44,21,4
634,2015-12-16,Louis Little,423-51-1796,189.58,21,5
635,2016-10-19,Ernest Peters,566-28-8403,199.78,21,3
636,2016-05-17,Lisa Ray,192-27-6852,65.52,21,4
637,2015-12-24,Lillian West,524-23-7100,105.07,21,4
638,2016-10-07,Alan Sullivan,604-48-4748,100.03,21,5
639,2016-07-17,Angela Allen,755-15-9127,141.09,21,6
640,2016-07-10,Angela Romero,797-69-4709,151.56,21,4
641,2016-05-13,Amy Chavez,644-81-5401,142.31,21,4
642,2016-10-17,Michelle Ray,774-71-2433,112.98,21,3
643,2016-10-11,Frances Foster,796-31-8511,103.87,21,5
644,2016-10-05,Jennifer Watkins,793-38-6000,108.61,21,6
645,2016-06-28,Christina Montgomery,107-35-7134,51.5,21,4
646,2016-01-21,Adam Robertson,982-15-4554,222.25,21,5
647,2016-06-07,Julie Morris,971-37-9999,85.89,21,6
648,2016-06-16,Linda Miller,545-78-5437,60.67,21,5
649,2015-11-19,Bobby Hudson,809-51-0747,53.52,21,3
650,2015-11-05,Denise Collins,790-76-7933,192.48,21,3
651,2015-12-13,Judith Fernandez,350-60-1825,187.81,21,5
652,2016-09-26,Sharon Williamson,219-90-3224,156.53,21,5
653,2016-10-16,Phillip Ray,903-79-6095,174.97,21,5
654,2015-11-02,Mildred Owens,233-15-3600,197.03,21,6
655,2016-08-12,Clarence Kim,413-58-3497,103.98,21,3
656,2016-10-20,Beverly Watkins,375-25-5302,82.49,21,3
657,2016-01-29,Jacqueline Harrison,735-42-1086,177.08,21,6
658,2015-12-13,Jonathan Fernandez,354-95-4451,126.45,21,5
659,2016-02-11,Ernest Anderson,456-34-9637,140.9,21,3
660,2016-04-14,Donna Martin,692-56-6585,34.62,21,4
661,2016-10-12,Diane Hughes,856-41-9122,100.74,21,5
662,2016-07-22,Willie Nguyen,662-74-8151,215.67,21,5
663,2016-07-21,Aaron Lewis,771-18-9199,49.07,21,4
664,2016-06-20,Sean Rogers,596-17-3132,113.96,21,6
665,2016-06-27,Kathy Watkins,320-60-0601,103.42,21,6
666,2016-06-17,Judy Knight,373-84-3173,28.0,21,5
667,2016-02-08,Frances Henderson,755-40-2141,32.01,21,3
668,2016-06-19,Michael Banks,791-50-9717,208.43,21,6
669,2016-01-02,Steven Meyer,874-77-4474,162.18,21,4
670,2016-04-16,Ryan Reid,651-55-9412,132.68,21,5
671,2015-11-03,Kelly Duncan,538-36-1209,147.06,21,3
672,2016-01-06,George Lewis,351-83-2199,83.47,21,5
673,2016-04-16,Cynthia Gomez,138-52-1504,31.18,21,4
674,2016-04-07,Annie Mitchell,370-85-2381,101.32,21,4
675,2016-02-24,Gloria Wilson,443-61-6718,144.67,21,4
676,2016-10-08,Walter Oliver,211-32-4195,36.58,21,4
677,2016-09-24,Patricia Gonzales,506-89-9443,70.96,21,4
678,2016-03-23,Ralph Mitchell,771-13-3934,111.26,21,6
679,2016-02-03,Martin Collins,919-62-9666,146.89,21,5
680,2016-04-19,Juan Gonzales,396-60-3041,93.71,21,4
681,2016-06-30,Jack Martinez,402-03-1212,77.88,21,3
682,2016-08-22,Nicholas Mcdonald,510-00-6281,92.1,21,4
683,2016-05-08,Diana Price,395-68-3313,162.19,21,3
684,2015-12-30,Sandra Torres,448-96-4545,57.91,21,4
685,2015-11-03,Jesse Turner,754-73-5400,98.24,21,5
686,2016-05-13,Joshua Ward,840-15-1566,121.76,21,4
687,2016-04-10,Carol Vasquez,111-96-8212,157.31,21,4
688,2016-05-04,Phillip Murray,337-13-5796,87.0,21,3
689,2016-05-02,Deborah Lawson,623-13-5280,83.04,21,3
690,2015-11-27,Henry Butler,159-86-8046,173.97,21,3
691,2016-07-26,Kathryn Gray,750-58-1023,171.29,21,6
692,2016-08-30,Evelyn Pierce,755-89-1811,124.7,21,4
693,2016-07-15,Peter Harrison,890-37-4783,79.21,21,5
694,2015-12-20,Todd Warren,119-37-5569,65.9,21,6
695,2015-10-29,Scott Baker,113-19-0614,166.14,21,4
696,2016-07-13,Joyce Mccoy,976-63-4542,75.58,21,5
697,2016-08-10,Todd Harris,937-07-8506,158.91,21,4
698,2016-07-27,Roger Spencer,312-21-4912,101.37,21,3
699,2016-03-26,Paula Kelly,718-61-0621,136.91,21,6
700,2015-11-20,Earl Wilson,110-63-5674,198.46,21,3
701,2016-04-13,Debra Myers,755-09-7495,132.12,21,4
702,2015-11-04,Steve Cook,102-97-5867,179.27,21,6
703,2016-05-08,Mildred Baker,948-16-2106,202.9,21,4
704,2016-01-19,Katherine Willis,843-39-1255,100.18,21,5
705,2016-04-24,Brian Bell,834-81-5313,175.26,21,5
706,2016-05-02,Denise Watkins,279-00-4068,63.16,21,3
707,2016-03-10,Sandra Jones,498-74-1619,198.2,21,5
708,2016-01-24,Lisa Taylor,384-34-6169,60.01,21,3
709,2016-10-13,Marie Butler,379-64-7127,203.39,21,4
710,2016-02-16,Evelyn Walker,725-90-7222,85.59,21,6
711,2016-04-30,Ruby Gutierrez,773-25-8698,76.3,21,6
712,2016-08-24,Kenneth Kelly,334-41-0702,180.29,21,5
713,2016-04-23,Sharon Perkins,756-20-6762,78.91,21,5
714,2015-11-11,Katherine Rice,316-84-6470,54.24,21,5
715,2016-01-11,Antonio Rose,248-06-0857,173.22,21,5
716,2016-05-20,Ronald Cunningham,486-42-0009,199.33,21,4
717,2016-05-18,Ruby Robinson,859-77-9437,101.03,21,4
718,2016-01-05,Chris Reed,433-63-6694,206.54,21,5
719,2015-11-28,Jason Stewart,692-36-8753,224.86,21,5
720,2016-02-22,Ruby Porter,506-26-9210,25.88,21,3
721,2016-04-10,Sandra Reyes,437-28-7424,204.01,21,6
722,2016-01-19,Anne Schmidt,345-69-2483,163.07,21,3
723,2016-09-07,Craig Ryan,343-32-1159,155.23,21,5
724,2016-01-12,Joe Johnston,130-77-5802,118.86,21,6
725,2016-04-03,Justin Harvey,137-01-1286,182.65,21,3
726,2016-04-09,Annie Scott,928-49-8786,130.48,21,4
727,2015-12-01,Ryan Hamilton,640-21-1594,113.42,21,4
728,2016-05-13,Roger Alvarez,223-18-9836,217.43,21,6
729,2016-09-09,Benjamin Flores,706-09-0419,168.6,21,3
730,2016-10-02,Victor King,192-53-4142,142.49,21,6
731,2016-01-31,Scott Morgan,780-80-6509,91.07,21,4
732,2016-04-23,Frances Myers,941-17-2817,139.24,21,4
733,2016-01-31,Anne Holmes,357-02-1582,223.62,21,3
734,2016-10-21,Pamela Stanley,968-52-4256,221.88,21,5
735,2016-03-15,William Schmidt,739-96-9145,163.83,21,3
736,2016-01-06,Tina Kennedy,150-48-7348,106.08,21,3
737,2015-12-22,Shawn Ellis,810-69-1596,48.96,21,4
738,2015-12-12,Ruby Simpson,876-55-7776,101.93,21,6
739,2016-09-10,John Holmes,633-19-3415,50.29,21,6
740,2016-03-31,Roger Davis,876-68-5896,128.45,21,3
741,2016-01-13,Justin Richardson,128-62-8257,171.97,21,3
742,2015-10-27,Kathy Bryant,141-95-2435,226.99,21,4
743,2016-08-27,Denise Myers,957-55-8282,55.74,21,3
744,2015-12-28,Dennis Jacobs,870-73-4931,91.97,21,3
745,2016-10-03,Irene Dixon,462-65-6194,59.79,21,4
746,2016-03-24,Dorothy Collins,164-54-2054,70.22,21,5
747,2016-08-27,Andrew Ryan,285-44-1706,204.76,21,4
748,2016-01-20,Ruth Murphy,816-37-6850,176.01,21,6
749,2016-07-24,Pamela Scott,791-56-2504,201.42,21,5
750,2016-03-05,Louis Bailey,368-55-0852,171.1,21,6
751,2016-05-13,Randy Gardner,480-70-6184,132.47,21,4
752,2016-02-12,David Warren,123-02-6184,163.93,21,3
753,2016-10-12,Keith George,694-54-9936,161.84,21,5
754,2015-10-28,Catherine Watkins,151-63-9227,128.54,21,4
755,2016-10-15,Heather Diaz,247-60-5579,172.9,21,4
756,2016-06-21,Patrick Evans,517-76-1443,102.07,21,6
757,2016-10-22,Robin Graham,638-04-2111,202.82,21,5
758,2015-11-07,Ashley Thomas,466-75-0716,92.11,21,4
759,2016-09-02,Brandon Turner,746-64-6090,82.66,21,5
760,2016-01-10,Diana Torres,331-92-7379,88.1,21,4
761,2016-08-21,Betty Gray,715-97-6358,57.08,21,6
762,2016-03-16,Randy Dixon,763-89-6014,57.06,21,5
763,2016-06-08,Roger Berry,734-32-8500,98.9,21,4
764,2016-05-18,Nicholas Brown,979-77-0847,99.01,21,6
765,2016-02-17,Philip George,241-16-6125,67.34,21,4
766,2016-06-09,Sean Baker,117-62-3520,190.82,21,6
767,2016-07-02,Martin Long,542-60-2376,30.05,21,3
768,2015-11-24,Jeffrey Mills,483-68-9857,216.84,21,6
769,2016-07-02,Todd Dixon,873-73-5054,122.88,21,3
770,2016-01-03,Anthony Edwards,973-69-7724,105.03,21,6
771,2015-11-23,Andrew Rose,931-11-9811,209.39,21,4
772,2015-11-25,Steve Romero,936-16-6196,50.25,21,4
773,2015-11-15,Laura Wheeler,392-88-4543,174.2,21,5
774,2016-04-15,Alice Hernandez,481-84-5146,51.55,21,6
775,2016-06-28,Debra Price,808-73-5069,114.68,21,4
776,2016-04-20,Thomas Frazier,658-78-7746,97.24,21,4
777,2016-01-13,Judith Brooks,380-65-8700,67.33,21,5
778,2015-11-10,Rebecca Peters,265-79-4363,45.15,21,6
779,2016-05-27,Scott Murphy,844-16-1178,202.1,21,5
780,2016-01-22,Albert Russell,965-79-2977,106.4,21,6
781,2016-09-28,Brandon Jenkins,230-82-4241,194.17,21,5
782,2015-11-26,Lois James,832-66-8454,83.6,21,6
783,2016-06-04,Carol Foster,966-62-0899,171.36,21,3
784,2016-02-13,Stephanie Cooper,695-68-7668,223.37,21,5
785,2016-03-25,Judy Ray,727-11-6903,57.96,21,4
786,2016-03-26,Jason Simmons,360-88-2510,138.56,21,5
787,2015-10-24,Kathy Moreno,213-36-2128,44.41,21,5
788,2015-11-30,Laura Green,399-24-8207,148.66,21,5
789,2016-08-08,Paula Young,822-26-7084,39.63,21,6
790,2016-02-12,Annie Kennedy,987-53-6746,46.53,21,6
791,2016-02-04,Lisa Taylor,819-42-1143,80.64,21,6
792,2016-01-10,Marilyn Collins,896-60-1665,58.15,21,3
793,2016-01-06,Philip White,639-32-5000,206.39,21,3
794,2016-07-29,Sandra Carter,763-77-3270,118.25,21,5
795,2016-04-29,Norma Martinez,192-92-1495,216.69,21,5
796,2016-03-20,Raymond Greene,575-09-5517,88.35,21,6
797,2016-01-06,Lawrence Lewis,465-17-9006,143.07,21,3
798,2015-12-13,Ruth Ross,466-74-9595,171.42,21,4
799,2015-12-19,Roy Tucker,331-27-1902,224.94,21,6
800,2016-02-24,Doris Dean,587-56-7039,32.29,21,5
801,2016-07-02,Philip Vasquez,588-82-0381,117.28,21,5
802,2016-01-18,Virginia Freeman,578-35-9828,201.18,21,3
803,2015-12-28,Tammy Henry,968-00-0060,85.0,21,4
804,2016-02-27,Sean Howell,337-09-7015,61.33,21,6
805,2016-01-24,Randy Sims,972-86-3951,30.59,21,3
806,2016-08-17,Clarence Allen,318-52-4322,203.67,21,6
807,2016-08-08,Jeremy Cruz,669-91-6007,166.02,21,6
808,2015-12-03,Scott Hall,421-49-3406,140.87,21,3
809,2016-04-22,Melissa Bradley,407-50-3652,127.79,21,6
810,2016-06-08,Dorothy Stevens,757-75-8152,132.24,21,5
811,2016-02-06,Jeremy Gibson,989-54-6670,139.05,21,6
812,2016-03-25,Randy Sims,939-13-4975,44.7,21,6
813,2016-09-15,Amy Cook,907-66-6971,149.32,21,4
814,2016-10-23,Phillip Wells,414-41-6891,185.87,21,4
815,2016-07-15,Richard Gonzales,478-30-1720,50.18,21,4
816,2016-06-23,Wayne Bishop,774-68-3973,205.84,21,6
817,2016-09-27,Anna Hernandez,916-34-9676,165.02,21,5
818,2016-08-03,Amy Johnston,480-24-1982,146.96,21,6
819,2015-10-29,Carolyn Shaw,914-13-8833,110.92,21,6
820,2016-02-23,Joseph Dixon,546-56-4049,125.45,21,4
821,2016-04-24,Deborah Reed,427-85-4342,56.39,21,5
822,2016-06-03,Joe George,689-93-7787,169.57,21,5
823,2016-08-30,Fred George,430-11-2435,86.5,21,3
824,2016-01-31,Judith Griffin,624-10-1893,220.31,21,5
825,2016-08-01,Kathy Spencer,881-86-7742,87.66,21,3
826,2016-06-05,Harry Williamson,310-81-6886,168.07,21,3
827,2016-05-31,Carolyn Stone,317-35-9702,201.77,21,4
828,2016-05-05,Rachel Sims,653-85-8992,141.61,21,6
829,2016-08-26,Paul Payne,263-19-0219,151.2,21,4
830,2016-08-21,Eugene Scott,646-83-7096,155.53,21,3
831,2016-05-08,Diane Willis,466-81-5409,192.59,21,5
832,2015-12-11,Mark Oliver,136-95-8269,162.11,21,5
833,2016-02-25,David Bennett,243-67-4832,220.08,21,6
834,2016-09-16,Scott Woods,108-73-3497,189.53,21,6
835,2016-09-11,Justin Watson,681-01-9484,51.85,21,3
836,2016-07-30,Robin Barnes,535-93-2770,65.61,21,5
837,2016-02-28,Janice Rivera,133-83-2429,35.26,21,5
838,2016-10-16,Jacqueline Nguyen,843-96-6715,207.1,21,6
839,2016-02-12,Billy Jones,997-74-3765,113.72,21,5
840,2016-06-22,Brandon Burke,418-32-1285,123.74,21,4
841,2016-08-12,Jose Reyes,849-87-9399,28.99,21,4
842,2016-03-19,Nancy Nguyen,170-32-5017,215.67,21,4
843,2016-04-05,Samuel Nguyen,724-30-0919,56.09,21,6
844,2016-07-17,Jeremy Sims,848-59-6696,95.26,21,6
845,2016-01-10,Gregory Henry,171-06-5021,93.45,21,4
846,2016-10-02,Brenda Chapman,321-04-7405,54.85,21,3
847,2015-12-25,Jimmy Hill,934-77-6300,38.33,21,6
848,2016-09-04,Bruce Hamilton,917-33-3553,62.49,21,4
849,2015-11-04,Martin Clark,178-34-8223,67.54,21,4
850,2016-04-07,Melissa Ortiz,325-03-1207,45.97,21,5
851,2015-12-23,Lois Martin,676-41-6014,49.2,21,6
852,2016-05-04,Tina Thomas,359-38-2569,52.83,21,4
853,2016-01-02,Gregory Lawson,543-08-0503,176.59,21,6
854,2016-02-10,Marie Howard,272-03-5270,207.75,21,3
855,2015-11-23,Joe Ross,488-73-9874,87.88,21,5
856,2016-08-16,Thomas Chavez,714-21-2944,53.04,21,5
857,2016-06-22,Jose Williamson,938-91-1062,177.41,21,5
858,2016-07-14,Sharon Hanson,189-98-5979,87.81,21,6
859,2016-01-03,Kathleen Hudson,852-75-4957,64.51,21,4
860,2016-08-31,Helen Fuller,255-29-7289,200.64,21,3
861,2015-11-03,Sandra Wright,456-92-5448,60.38,21,6
862,2015-12-11,Clarence Diaz,505-93-9649,75.74,21,5
863,2015-11-20,Arthur Snyder,319-49-0055,58.38,21,6
864,2016-10-21,Kathy Reynolds,340-97-7651,148.87,21,3
865,2016-05-01,Nicole Martin,737-50-1586,224.98,21,3
866,2015-12-11,Beverly Nguyen,127-78-8036,67.22,21,6
867,2016-05-01,Beverly Gutierrez,262-25-5535,80.08,21,6
